"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Product catalog","","4","4","9","0","0"
"","Shopping cart","","0","1","6","0","0"
"","Order history","","1","1","0","0","0"
"","Order payment","","0","1","0","0","0"
