"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Order payment","","0","1","0","0","0"
"","Product catalog","","4","1","12","0","0"
"","Shopping cart","","0","0","7","0","0"
"","Order history","","1","1","0","0","0"
