"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Shopping cart","","0","1","6","0","0"
"","Product catalog","","4","6","7","0","0"
"","Order history","","1","1","0","0","0"
"","Order payment","","0","1","0","0","0"
